"id";"token";"G00Q01[SQ01]";"G02Q01";"G02Q02";"G02Q03";"G02Q04";"G03Q01";"G03Q02";"G03Q02[other]"
"54";"nyica";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch";"14";"Masculino";""
"55";"aaouz";"Sí";"Sí";"La conozco y además la he usado";"Sí";"He usado scracht, arduino y actualmente processing, todas en el ámbito escolar.";"17";"Masculino";""
"56";"ryrkx";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing y Scratch.";"17";"Femenino";""
"57";"sjfxc";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing. La he usado.";"16";"Masculino";""
"58";"bceve";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"No";"Processing";"17";"Femenino";""
"59";"lbxyf";"Sí";"No estoy seguro/a";"La conozco, pero no la he usado";"No";"Conozco scratch, arduino y python pero no he usado ninguno";"17";"Masculino";""
"60";"qwpll";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Arduino(No lo he usado) Processing(Sí lo he usado)";"17";"Masculino";""
"61";"dherc";"Sí";"No estoy seguro/a";"La conozco, pero no la he usado";"No";"Ninguno";"16";"Masculino";""
"62";"njkdp";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Java, python,C#,C++ y Arduino. Solo los conozco, no tengo mayor experiencia que un ""Hello world""";"17";"Masculino";""
"63";"turzu";"Sí";"No estoy seguro/a";"No la conozco";"Sí";"No conozco ninguno.";"17";"Femenino";""
"64";"qftod";"Sí";"Sí";"La conozco, pero no la he usado";"No";"Ninguna";"16";"Masculino";""
"65";"nygxn";"Sí";"Sí";"La conozco y además la he usado";"No";"ninguno";"17";"Otro";"no binario"
"66";"dqgsb";"Sí";"No estoy seguro/a";"No la conozco";"No";"no conozco ninguna ";"17";"Femenino";""
"67";"yprmk";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Processing";"16";"Masculino";""
"68";"jyjby";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Conozco más o menos python (estoy aprendiendo), mi primo me ha enseñado algo de java, en TICO estamos aprendiendo processing e hice un curso de scratch cuando era pequeña.";"16";"Femenino";""
"69";"djlez";"Sí";"Sí";"La conozco, pero no la he usado";"No";"No";"17";"Femenino";""
"70";"ogtvn";"Sí";"Sí";"No la conozco";"Sí";"Arduino, OpenScad, Processing.";"17";"Femenino";""
"71";"eimoo";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch, Arduino, Processing";"17";"Femenino";""
"72";"vkohi";"Sí";"Sí";"La conozco y además la he usado";"No";"Lenguajes de programación: C(++, #), JavaScript, Python, Angular, Visual Basic...
Herramientas: Visual Basic Studio, el IDLE de Python";"17";"Otro";"CAZA EUROFIGHTER"
"73";"goxch";"Sí";"Sí";"No la conozco";"Sí";"No";"17";"Masculino";""
